Filtering ,Select all rows where column foo has a value greater than or equal to one,select * from syn123 where foo >= 1
Filtering,Select all rows where column foo has a value less than or equal to one.,select * from syn123 where foo <= 1
Filtering,"Select all rows where column foo has a value equal to one, two, or three.","select * from syn123 where foo in (1,2,3)"
Filtering,Select all rows where column foo has a value between one and two.,select * from syn123 where foo between 1 and 2
Filtering,Select all rows where column foo has a null value.,select * from syn123 where foo is null
Filtering,Select all rows where column foo has a value that is not null.,select * from syn123 where foo is not null
Filtering,Select all rows where column foo has a value with a prefix of 'bar'.  In this example the right-hand-side of the LIKE keyword is a regular expression where the '%' represents one or more characters or even zero characters.,select * from syn123 where foo like 'bar%'
Filtering,Select all rows where column foo has a value with a prefix of 'bar'.  In this example the right-hand-side of the LIKE keyword is a regular expression where the '_' represents one and only one character.,select * from syn123 where foo like 'bar_'
Filtering,Select all rows where double column foo is not a number or plus or minus infinity,select * from syn123 where isNan(foo) or isInfinity(foo)
Filtering,The default escape character for LIKE regular expression is the '\' character.  In this example we want to find all rows such that foo that contain 'bar_' so we will need to escape the '_' character.,select * from syn123 where foo like 'bar\_'
Filtering,"To use a different escape character for LIKE regular expression we must define the escape character.  In this example, the '|' will be used as an escape character instead of '\'.",select * from syn123 where foo like 'bar|_' escape '|'
Filtering,Select all rows where column foo has a value equal to one or column bar has a value equals to two.,select * from syn123 where foo = 1 or bar = 2
Filtering,Select all rows where column foo has a value equal to one and column bar has a value equal to two.,select * from syn123 where foo=1 and bar =2
Filtering,Predicates can be surrounded by the '(' and ')' to enforce precedence and nesting.,select * from syn123 where (foo=1 and bar =2) or foobar = 3
Date and Time Functions,Filtering on columns of type DATE using a standard string format:  'YYYY-MM-DD HH:MM:SS'.  This example selects all rows where column aDate has a value greater than '2017-05-19 22:31:01' (GMT).  ,select * from syn123 where aDate > UNIX_TIMESTAMP('2017-05-19 22:31:01')*1000
Date and Time Functions,Filtering on columns of type DATE using an interval.  This example will select all rows have been modified in last 30 days.  Interval units can be YEAR | QUARTER | MONTH | WEEK | DAY | HOUR | MINUTE | SECOND | MICROSECOND.,select * from syn123 where modified_on > unix_timestamp(NOW() - INTERVAL 30 DAY)*1000
Date and Time Functions,"For columns of type DATE, select the date value as a standard date string in the format: 'YYYY-MM-DD HH:MM:SS'.",select FROM_UNIXTIME(aDate/1000) from syn123
Date and Time Functions,Function to extract a numeric value from a date-time string.  Supported functions include: MICROSECOND | SECOND | MINUTE | HOUR | DAY | WEEK | QUARTER | YEAR | YEARWEEK | DAYOFMONTH | DAYOFWEEK | DAYOFYEAR | WEEKOFYEAR,select microsecond('12:00:00.123456') from syn123
Date and Time Functions,Function to extract a string value from a date-time string.  Supported functions include: DATE | DAYNAME | MONTHNAME,select dayname('2007-02-03') from syn123
String Functions,Concatenate the values of columns foo and bar into a single string.,"select concat(foo, bar) from syn123"
String Functions,Replace all space characters with underscores for all values from the foo column.,"select replace(foo, ' ', '_') from syn123   "
String Functions,Convert all string values from the column foo to upper case.,select upper(foo) from syn123
String Functions,Convert all string values from the column foo to lower case.,select lower(foo) from syn123
String Functions,Trim leading and trailing white space characters from all string values of the column foo.,select trim(foo) from syn123
Grouping,"Select all rows grouping first by foo, then by bar.","select * from syn123 group by foo, bar"
Grouping,"Grouping can be used in conjunction with aggregation function.  In this example, values from the foo column are first grouped, then the average of each group is calculated. For this example, one row will be returned for each group.","select foo, avg(foo) from syn123 group by foo"
Sorting,Select all columns from the table with the returned row order sorted by the values of the foo column in ascending order.,select * from syn123 order by foo asc
Sorting,Select all columns from the table with the returned row order sorted by the values of the foo column in descending order.,select * from syn123 order by foo desc
Sorting,"Multiple columns can be include in the order by clause.  In this example, the returned row order will be sorted first by foo in ascending order followed by bar in descending order.","select * from syn123 order by foo asc, bar desc"
Pagination,"Pagination is used to limit the number of results returned in a single request.  In this example, we want the first ten rows that match our query.",select * from syn123 limit 10 offset 0
Pagination,"If the above query fetches the first page of ten results with indices from zero to nine, the second page of ten rows can be fetched using this query.",select * from syn123 limit 10 offset 10
Pagination,"The OFFSET element is optional.  In this example, LIMIT is used to limit the results to the first 5 rows.",select * from syn123 limit 5
Pagination,Pagination parameters should always be at the end of the query,select * from syn123 where foo =1 group by bar limit 100 offset 0
Reserved Columns,"Every table has at least two reserved columns ROW_ID and ROW_VERSION.  The values for these column are automatically managed and can not be directly modified.  However, these columns can be used in queries like any other column.  In this example, we are selecting all columns for a single row using its ROW_ID.",select * from syn123 where ROW_ID = 101
Reserved Columns,"In this example we are listing all rows that have a current version number greater than 12.  Note: while each row can have multiple versions, only the current version of each row will appear in the index used to support table queries.  That means it is not possible to list old version of a row or select a row using an old version number.",select * from syn123 where ROW_VERSION > 12
